Trial_No,Type,Condition,Stim1,Stim1_F1,Stim2,Stim2_F1,Stim2_F2,Corr_Resp,trialstart_time,keystart_time,resp_key,response,keypress_time,key_RT
1,E,1,Friend,C,excitable,CU,Positive,NIL,3.118046100018546,4.960991600062698,None,None,nan,nan
2,E,1,Friend,C,cautious,CU,Positive,NIL,6.467764100059867,9.314741999958642,None,None,nan,nan
3,E,3,Upper Case,C,phony,CU,Negative,Yes,10.821241199970245,12.657391399960034,None,None,nan,nan
3,E,3,Upper Case,C,phony,CU,Negative,Yes,10.821241199970245,12.657391399960034,None,None,nan,nan
