36.9659 	WARNING 	Speech-to-text recognition module not available (use command `pip install SpeechRecognition` to get it. Transcription will be unavailable.
37.0370 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
37.0411 	WARNING 	Monitor specification not found. Creating a temporary one...
48.1135 	EXP 	window1: recordFrameIntervals = False
48.2768 	EXP 	window1: recordFrameIntervals = True
48.3533 	EXP 	window1: recordFrameIntervals = False
48.7512 	EXP 	Created memoryPrompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='memoryPrompt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Please recall (PROMPT)', units='norm', win=Window(...), wrapWidth=1)
48.7535 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
48.7543 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
48.7547 	EXP 	New trial (rep=0, index=0): None
48.7884 	EXP 	memoryPrompt: autoDraw = True
52.7567 	EXP 	memoryPrompt: autoDraw = False
52.7567 	EXP 	memoryPrompt: autoDraw = False
52.7567 	EXP 	text: autoDraw = True
56.7521 	EXP 	New trial (rep=1, index=0): None
56.7629 	EXP 	text: autoDraw = False
56.7629 	EXP 	text: autoDraw = False
56.7629 	EXP 	memoryPrompt: autoDraw = True
60.7548 	EXP 	memoryPrompt: autoDraw = False
60.7548 	EXP 	memoryPrompt: autoDraw = False
60.7548 	EXP 	text: autoDraw = True
64.7510 	EXP 	New trial (rep=2, index=0): None
64.7621 	EXP 	text: autoDraw = False
64.7621 	EXP 	text: autoDraw = False
64.7621 	EXP 	memoryPrompt: autoDraw = True
68.7541 	EXP 	memoryPrompt: autoDraw = False
68.7541 	EXP 	memoryPrompt: autoDraw = False
68.7541 	EXP 	text: autoDraw = True
72.7569 	EXP 	New trial (rep=3, index=0): None
72.7684 	EXP 	text: autoDraw = False
72.7684 	EXP 	text: autoDraw = False
72.7684 	EXP 	memoryPrompt: autoDraw = True
76.7612 	EXP 	memoryPrompt: autoDraw = False
76.7612 	EXP 	memoryPrompt: autoDraw = False
76.7612 	EXP 	text: autoDraw = True
80.7568 	EXP 	New trial (rep=4, index=0): None
80.7681 	EXP 	text: autoDraw = False
80.7681 	EXP 	text: autoDraw = False
80.7681 	EXP 	memoryPrompt: autoDraw = True
84.7614 	EXP 	memoryPrompt: autoDraw = False
84.7614 	EXP 	memoryPrompt: autoDraw = False
84.7614 	EXP 	text: autoDraw = True
88.7683 	EXP 	text: autoDraw = False
88.7683 	EXP 	text: autoDraw = False
