trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,memoryPrompt.started,memoryPrompt.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,49.61662000004435,None,54.57321990001947,None,,001,2021_Oct_19_2043,exp,2021.2.3,147.63372664887473,
1,0,1,0,59.5874601000105,None,64.58017900004052,None,,001,2021_Oct_19_2043,exp,2021.2.3,147.63372664887473,
2,0,2,0,69.5945883000386,None,73.58773080003448,None,,001,2021_Oct_19_2043,exp,2021.2.3,147.63372664887473,
3,0,3,0,77.60325290000765,None,81.60215390002122,None,,001,2021_Oct_19_2043,exp,2021.2.3,147.63372664887473,
4,0,4,0,85.60864859999856,None,89.60859449999407,None,,001,2021_Oct_19_2043,exp,2021.2.3,147.63372664887473,
