trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,memoryPrompt.started,memoryPrompt.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,38.605331900005694,None,43.5663954000338,None,,001,2021_Oct_19_2005,exp,2021.2.3,145.12671740362373,
1,0,1,0,48.57392270001583,None,52.57478160003666,None,,001,2021_Oct_19_2005,exp,2021.2.3,145.12671740362373,
2,0,2,0,56.58937940001488,None,60.58791490003932,None,,001,2021_Oct_19_2005,exp,2021.2.3,145.12671740362373,
3,0,3,0,64.59663049998926,None,69.596011799993,None,,001,2021_Oct_19_2005,exp,2021.2.3,145.12671740362373,
4,0,4,0,74.61763759999303,None,79.61005180003121,None,,001,2021_Oct_19_2005,exp,2021.2.3,145.12671740362373,
