trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,memoryPrompt.started,memoryPrompt.stopped,textbox.text,textbox.started,textbox.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,334.4438354000449,None,return,2.4040592999663204,334.4438354000449,None,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_01_1259,exp,2021.2.3,141.9531044383845,
0,0,0,0,,,,,,,336.88314659986645,None,"Type response here
",336.88314659986645,None,return,0.24583170004189014,336.88314659986645,None,342.68176730000414,None,341.1681319999043,None,return,1.4938688999973238,341.1681319999043,None,346.6959993999917,None,,001,2021_Nov_01_1259,exp,2021.2.3,141.9531044383845,
