trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,memoryPrompt.started,memoryPrompt.stopped,textbox.text,textbox.started,textbox.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,275.8051237000618,None,return,3.1761941999429837,275.8051237000618,None,,,,,,,,,,,,,,,,,,,001,2021_Oct_26_0636,exp,2021.2.3,142.9480170370505,
0,0,0,0,,,,,,,279.00144100002944,None,"njibijnjn
",279.00144100002944,None,return,4.369907999993302,279.00144100002944,None,290.071120299981,None,287.40463949996047,None,return,2.642715600086376,287.40463949996047,None,,001,2021_Oct_26_0636,exp,2021.2.3,142.9480170370505,
