trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,memoryPrompt.started,memoryPrompt.stopped,textbox.text,textbox.started,textbox.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,5.110474199987948,None,return,1.9303758000023663,5.110474199987948,None,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_01_0155,exp,2021.2.3,143.87122942542848,
0,0,0,0,,,,,,,7.075441700173542,None,"Type response here
",7.075441700173542,None,return,2.997986099915579,7.075441700173542,None,19.03321070014499,None,14.103772100061178,None,return,4.915918699931353,14.103772100061178,None,23.042221800191328,None,,001,2021_Nov_01_0155,exp,2021.2.3,143.87122942542848,
