trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,memoryPrompt.started,memoryPrompt.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1094.2826497999486,None,1099.2411708999425,None,,001,2021_Oct_23_2103,exp,2021.2.3,151.14096296694638,
1,0,1,0,1104.2552254999755,None,1108.2551179999718,None,,001,2021_Oct_23_2103,exp,2021.2.3,151.14096296694638,
