trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
1,4  +  2,0,1.45,1.45,8        6,1.45,1.45,2.9, ,2.9,3,0.1,2,15.0,15.005593700014288,16.45459700000356,17.920813800010365,None,False,None
2,2  +  5,3,1.45,4.45,5        7,4.45,1.45,5.9, ,5.9,6,0.1,2,18.0,18.004225800017593,19.45329910001601,20.9193012000178,None,False,None
3,1  +  7,6,1.45,7.45,8        6,7.45,1.45,8.9, ,8.9,9,0.1,1,21.0,21.002499000023818,22.460118500021053,23.917870400007814,None,False,None
