METADATA:
Block Runtime,Experiment Seed,"Number of ""Go/No Go"" stimuli","Number of ""Other"" stimuli","Number of ""Self"" stimuli",Number of Finger Tapping blocks (5 stimuli per block),Number of Memory stimuli,Number of One-Back stimuli,Number of Reading stimuli,Number of Zero-Back stimuli,Subject
10,1,2,2,2,2,2,2,2,2,2
1.7933022000070196
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data
EXPERIMENT DATA:,Memory Task
Start Time,1.7936297999985982
Memory Task Starting,2.407049500005087,,,,Memory Task,1,2,,
Memory Prompt Shown,3.5463094000006095,,,,Memory Task,1,2,,
Text Input Updating,3.5463564000092447,,,,Memory Task,1,2,,
Text Input Submitted,3.8478572000021813,,,,Memory Task,1,2,,"Type response here
"
