trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,memoryPrompt.started,memoryPrompt.stopped,textbox.text,textbox.started,textbox.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,13.774164500064217,None,return,4.533190199988894,13.774164500064217,None,,,,,,,,,,,,,,,,,,,001,2021_Oct_26_0629,exp,2021.2.3,147.95109922303206,
0,0,0,0,,,,,,,18.370120999985375,None,beach,18.370120999985375,None,return,10.121218499960378,18.370120999985375,None,40.75947749998886,None,33.523386700078845,None,return,7.216928899986669,33.523386700078845,None,,001,2021_Oct_26_0629,exp,2021.2.3,147.95109922303206,
