METADATA:
Experiment Seed,"Number of ""Go/No Go"" stimuli","Number of ""Other"" stimuli","Number of ""Self"" stimuli",Number of Finger Tapping blocks (5 stimuli per block),Number of Memory stimuli,Number of Reading stimuli,Subject,Version
1,2,2,2,2,2,2,2,2
2.808019599993713
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID
EXPERIMENT DATA:,Friend Task
Start Time,2.808851100038737
"['Friend', 'excitable']",9.935475999955088,,,,Friend Task,1,2
"['Friend', 'cautious']",14.983402500045486,,,,Friend Task,1,2
