trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,97.05692859999544,None,return,1.3966414000024088,97.05692859999544,None,,,,,,,,,,,,,,,,,,,001,,2021_Dec_08_1934,FingTap,2021.2.3,146.1304652793378,
,,,,,,,,,,,,,,-0.2171875,0.08,0,0,0,0.0002584000467322767,None,,,,,,,,,,,,001,,2021_Dec_08_1934,FingTap,2021.2.3,146.1304652793378,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,98.46609750000061,None,101.4667666000023,None,space,0.5648934000055306,101.4667666000023,None,4,102.04240659999778,None,001,,2021_Dec_08_1934,FingTap,2021.2.3,146.1304652793378,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,104.04300890000013,None,space,0.4487568000040483,104.04300890000013,None,1,104.50130810000701,None,001,,2021_Dec_08_1934,FingTap,2021.2.3,146.1304652793378,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,108.50160570000298,None,space,0.26531550000072457,108.50160570000298,None,2,108.78044729999965,None,001,,2021_Dec_08_1934,FingTap,2021.2.3,146.1304652793378,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,112.78858780000883,None,None,,112.78858780000883,None,4,117.79420630000823,None,001,,2021_Dec_08_1934,FingTap,2021.2.3,146.1304652793378,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,118.80107420000422,None,None,,118.80107420000422,None,1,123.8012114000012,None,001,,2021_Dec_08_1934,FingTap,2021.2.3,146.1304652793378,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,127.8006563999952,127.8006563999952,001,,2021_Dec_08_1934,FingTap,2021.2.3,146.1304652793378,
