trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,126.73548540000047,None,return,0.5590002999961143,126.73548540000047,None,,,,,,,,,,,,,,,,,,001,,2021_Dec_08_1951,FingTap,2021.2.3,143.23056540312504,
,,,,,,,,,,,,,,-0.0734375,-0.23,0,0,0,0.006382759980624542,None,,,,,,,,,,,001,,2021_Dec_08_1951,FingTap,2021.2.3,143.23056540312504,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,127.30631530001119,None,130.30625380000856,None,None,130.30625380000856,None,1,135.30583040000056,None,001,,2021_Dec_08_1951,FingTap,2021.2.3,143.23056540312504,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,137.3059401000064,None,None,137.3059401000064,None,4,142.30536360001133,None,001,,2021_Dec_08_1951,FingTap,2021.2.3,143.23056540312504,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,146.30539080000017,None,None,146.30539080000017,None,1,151.30557020001288,None,001,,2021_Dec_08_1951,FingTap,2021.2.3,143.23056540312504,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,155.30637910000223,None,None,155.30637910000223,None,3,160.30565750000824,None,001,,2021_Dec_08_1951,FingTap,2021.2.3,143.23056540312504,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,163.30641400000604,None,None,163.30641400000604,None,2,168.3060361000098,None,001,,2021_Dec_08_1951,FingTap,2021.2.3,143.23056540312504,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,170.30854280000494,170.30854280000494,001,,2021_Dec_08_1951,FingTap,2021.2.3,143.23056540312504,
