trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,100.50710180000169,None,return,0.536205999989761,100.50710180000169,None,,,,,,,,,,,,,,,,,,,001,,2021_Nov_17_0748,FingTap,2021.2.3,142.875716708682,
,,,,,,,,,,,,,,0.2984375,-0.0875,0,0,0,0.00593902004766278,None,,,,,,,,,,,,001,,2021_Nov_17_0748,FingTap,2021.2.3,142.875716708682,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,101.05558149999706,None,104.06331299999147,None,space,0.016141199972480536,104.06331299999147,None,2,104.0974753999908,None,001,,2021_Nov_17_0748,FingTap,2021.2.3,142.875716708682,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,108.09881649998715,None,space,0.4624078999913763,108.09881649998715,None,4,108.5766931999824,None,001,,2021_Nov_17_0748,FingTap,2021.2.3,142.875716708682,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,109.57797729998128,None,space,1.8390451000013854,109.57797729998128,None,4,111.43056139998953,None,001,,2021_Nov_17_0748,FingTap,2021.2.3,142.875716708682,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,112.43225649997476,None,space,3.4560243999876548,112.43225649997476,None,3,115.90315779999946,None,001,,2021_Nov_17_0748,FingTap,2021.2.3,142.875716708682,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,117.90470269997604,None,space,0.7952484000124969,117.90470269997604,None,4,118.7229493999912,None,001,,2021_Nov_17_0748,FingTap,2021.2.3,142.875716708682,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,119.72403849998955,119.72403849998955,001,,2021_Nov_17_0748,FingTap,2021.2.3,142.875716708682,
