,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,8,19  +  6,0,1.45,22.45,27        25,22.45,1.45,23.9, ,23.9,24,0.1,2,15.0,15.049933999998757,16.499644100000296,17.96632519999912,None,False,None
1,28,19  +  2,3,1.45,97.45,21        23,97.45,1.45,98.9, ,98.9,99,0.1,1,18.0,18.00656710000112,19.461121500000445,20.927664200000436,None,False,None
2,63,19  +  4,6,1.45,232.45,23        25,232.45,1.45,233.9, ,233.9,234,0.1,1,21.0,21.00791820000086,22.461803599999257,23.928627999997843,None,False,None
3,48,17  +  4,9,1.45,172.45,23        21,172.45,1.45,173.9, ,173.9,174,0.1,2,24.0,23.99573919999966,25.449496799999906,26.916557900000043,None,False,None
4,61,19  +  3,12,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1,27.0,26.996449499998562,28.45029330000034,29.917472099998122,None,False,None
5,45,15  +  9,15,1.45,163.45,24        26,163.45,1.45,164.9, ,164.9,165,0.1,1,30.0,29.997711699998035,31.45171389999814,32.91868479999903,None,False,None
6,9,16  +  9,18,1.45,25.45,25        23,25.45,1.45,26.9, ,26.9,27,0.1,1,33.0,32.99866209999891,34.45237629999974,35.91993499999808,None,False,None
7,2,19  +  9,21,1.45,4.45,28        26,4.45,1.45,5.9, ,5.9,6,0.1,1,36.0,35.99973559999853,37.45360789999904,38.9216282999987,None,False,None
8,56,1  +  8,24,1.45,196.45,11        9,196.45,1.45,197.9, ,197.9,198,0.1,2,39.0,39.0008319999979,40.4546064999995,41.92181400000118,None,False,None
9,69,7  +  3,27,1.45,250.45,12        10,250.45,1.45,251.9, ,251.9,252,0.1,2,42.0,42.00214749999941,43.45575660000031,44.923059299999295,None,False,None
10,72,3  +  2,30,1.45,259.45,5        7,259.45,1.45,260.9, ,260.9,261,0.1,1,45.0,45.00305819999994,46.45767010000054,47.92472319999797,None,False,None
11,31,1  +  1,33,1.45,106.45,2        0,106.45,1.45,107.9, ,107.9,108,0.1,1,48.0,48.00457800000004,49.457544199998665,50.92535950000092,None,False,None
