,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,15,17  +  4,0,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2,15.0,15.046697599995241,16.49677890000021,17.963992099997995,None,False,None
1,13,19  +  5,3,1.45,37.45,22        24,37.45,1.45,38.9, ,38.9,39,0.1,2,18.0,18.004380099999253,19.460854500001005,20.92778289999842,None,False,None
2,39,13  +  8,6,1.45,130.45,21        23,130.45,1.45,131.9, ,131.9,132,0.1,1,21.0,21.00489479999669,22.461883700001636,23.92932679999649,None,False,None
3,58,19  +  7,9,1.45,202.45,26        24,202.45,1.45,203.9, ,203.9,204,0.1,1,24.0,24.005869799999346,25.465439399995375,26.930127699997684,None,False,None
4,51,18  +  6,12,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1,27.0,26.997153099997377,28.44816870000068,29.915544399998907,None,False,None
5,53,14  +  8,15,1.45,187.45,24        22,187.45,1.45,188.9, ,188.9,189,0.1,2,30.0,29.99755059999734,31.449138199997833,32.91596479999862,None,False,None
6,79,13  +  9,18,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2,33.0,32.998795899999095,34.45060929999454,35.92002589999902,None,False,None
7,62,14  +  9,21,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1,36.0,35.99980749999668,37.45212779999565,38.91840409999713,None,False,None
8,44,18  +  5,24,1.45,160.45,21        23,160.45,1.45,161.9, ,161.9,162,0.1,2,39.0,38.998148099999526,40.45200029999978,41.91931199999817,None,False,None
9,12,15  +  7,27,1.45,34.45,22        20,34.45,1.45,35.9, ,35.9,36,0.1,1,42.0,41.99899319999531,43.45334300000104,44.920295899995835,None,False,None
10,57,16  +  9,30,1.45,199.45,23        25,199.45,1.45,200.9, ,200.9,201,0.1,2,45.0,45.00041169999895,46.45414509999682,47.921519600000465,None,False,None
11,74,19  +  3,33,1.45,265.45,22        20,265.45,1.45,266.9, ,266.9,267,0.1,1,48.0,48.001192199997604,49.45793540000159,50.92555319999519,None,False,None
12,32,18  +  4,36,1.45,109.45,20        22,109.45,1.45,110.9, ,110.9,111,0.1,2,51.0,51.00241589999496,52.458993699998246,53.92646260000038,None,False,None
13,49,19  +  2,39,1.45,175.45,21        23,175.45,1.45,176.9, ,176.9,177,0.1,1,54.0,54.00329729999794,55.46001750000141,56.92731239999557,None,False,None
14,3,14  +  8,42,1.45,7.45,22        20,7.45,1.45,8.9, ,8.9,9,0.1,1,57.0,57.00447649999842,58.46143519999896,59.92867480000132,None,False,None
15,64,17  +  9,45,1.45,235.45,24        26,235.45,1.45,236.9, ,236.9,237,0.1,2,60.0,60.00830199999473,61.46260659999825,62.92941309999878,None,False,None
16,7,18  +  6,48,1.45,19.45,26        24,19.45,1.45,20.9, ,20.9,21,0.1,2,63.0,62.99618879999616,64.44765950000146,65.91440959999454,None,False,None
17,26,16  +  5,51,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,66.0,65.99705739999627,67.44820069999696,68.91557340000145,None,False,None
18,31,17  +  6,54,1.45,106.45,23        25,106.45,1.45,107.9, ,107.9,108,0.1,1,69.0,68.9981850999975,70.44943390000117,71.91659809999692,None,False,None
19,30,19  +  7,57,1.45,103.45,24        26,103.45,1.45,104.9, ,104.9,105,0.1,2,72.0,71.99660589999985,73.45027679999475,74.91746219999914,None,False,None
20,2,19  +  9,60,1.45,4.45,28        26,4.45,1.45,5.9, ,5.9,6,0.1,1,75.0,90.03270509999857,91.48406299999624,92.95062959999632,None,False,None
21,75,16  +  6,63,1.45,268.45,24        22,268.45,1.45,269.9, ,269.9,270,0.1,2,78.0,92.9934998999961,94.44539870000153,95.91171509999549,None,False,None
22,60,19  +  8,66,1.45,208.45,29        27,208.45,1.45,209.9, ,209.9,210,0.1,2,81.0,95.95161089999601,97.40567029999511,98.87435249999544,None,False,None
23,27,18  +  7,69,1.45,94.45,27        25,94.45,1.45,95.9, ,95.9,96,0.1,2,84.0,98.9130925999998,100.37243049999961,101.83825079999951,None,False,None
24,59,19  +  5,72,1.45,205.45,22        24,205.45,1.45,206.9, ,206.9,207,0.1,2,87.0,101.87780560000101,103.32906150000053,104.79626179999468,None,False,None
25,17,19  +  6,75,1.45,49.45,27        25,49.45,1.45,50.9, ,50.9,51,0.1,2,90.0,104.83827960000053,106.2902724999949,107.75976490000176,None,False,None
26,34,18  +  8,78,1.45,115.45,24        26,115.45,1.45,116.9, ,116.9,117,0.1,2,93.0,107.79879860000074,109.25131919999694,110.72029420000035,None,False,None
27,9,16  +  9,81,1.45,25.45,25        23,25.45,1.45,26.9, ,26.9,27,0.1,1,96.0,110.75951579999673,112.21518639999704,113.68432049999683,None,False,None
28,21,18  +  3,84,1.45,76.45,23        21,76.45,1.45,77.9, ,77.9,78,0.1,2,99.0,113.73394220000046,115.1888512000005,116.65605399999913,None,False,None
29,46,15  +  6,87,1.45,166.45,21        19,166.45,1.45,167.9, ,167.9,168,0.1,1,102.0,116.6960751000006,118.1498150999978,119.61904349999531,None,False,None
30,66,12  +  9,90,1.45,241.45,19        21,241.45,1.45,242.9, ,242.9,243,0.1,2,105.0,119.65667459999531,121.10884299999452,122.57617059999757,None,False,None
31,80,18  +  4,93,1.45,283.45,22        20,283.45,1.45,284.9, ,284.9,285,0.1,1,108.0,122.61499699999695,124.07298009999795,125.53810330000124,None,False,None
