,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,21,5  +  3,0,1.45,76.45,6        8,76.45,1.45,77.9, ,77.9,78,0.1,2,15.0,15.059380300001067,16.512069399999746,17.97896000000037,None,False,None
1,39,7  +  2,3,1.45,130.45,7        9,130.45,1.45,131.9, ,131.9,132,0.1,2,18.0,18.03227700000207,19.486254300001747,20.953325000002224,None,False,None
2,59,4  +  1,6,1.45,205.45,5        3,205.45,1.45,206.9, ,206.9,207,0.1,1,21.0,21.006735599999956,22.460888000001432,23.92918379999901,None,False,None
3,37,2  +  1,9,1.45,124.45,3        5,124.45,1.45,125.9, ,125.9,126,0.1,1,24.0,23.995091600001615,25.44884699999966,26.91617469999983,None,False,None
4,60,1  +  3,12,1.45,208.45,2        4,208.45,1.45,209.9, ,209.9,210,0.1,2,27.0,26.99609860000055,28.45472190000146,29.916710800000146,None,False,None
5,46,6  +  3,15,1.45,166.45,11        9,166.45,1.45,167.9, ,167.9,168,0.1,2,30.0,29.99659099999917,31.450400900001114,32.91748220000227,None,False,None
6,40,2  +  7,18,1.45,133.45,7        9,133.45,1.45,134.9, ,134.9,135,0.1,2,33.0,32.99750839999979,34.45133360000182,35.91889380000066,None,False,None
7,47,4  +  6,21,1.45,169.45,10        8,169.45,1.45,170.9, ,170.9,171,0.1,1,36.0,35.99968340000123,37.45258610000019,38.919839400001365,None,False,None
8,16,3  +  1,24,1.45,46.45,4        6,46.45,1.45,47.9, ,47.9,48,0.1,1,39.0,38.9996785000003,40.45416390000173,41.92091200000141,None,False,None
9,64,5  +  3,27,1.45,235.45,8        6,235.45,1.45,236.9, ,236.9,237,0.1,1,42.0,42.00083690000247,43.4568242000023,44.92452720000074,None,False,None
10,45,3  +  2,30,1.45,163.45,5        3,163.45,1.45,164.9, ,164.9,165,0.1,1,45.0,45.004276200001186,46.45991890000005,47.924638000000414,None,False,None
11,18,4  +  2,33,1.45,52.45,6        4,52.45,1.45,53.9, ,53.9,54,0.1,1,48.0,48.00366969999959,49.459119900002406,50.92873099999997,None,False,None
12,2,2  +  5,36,1.45,4.45,5        7,4.45,1.45,5.9, ,5.9,6,0.1,2,51.0,51.01212160000068,52.458239100000355,53.925273600001674,None,False,None
13,70,1  +  9,39,1.45,253.45,8        10,253.45,1.45,254.9, ,254.9,255,0.1,2,54.0,54.00551330000235,55.46719640000083,56.934826100001374,None,False,None
14,49,6  +  1,42,1.45,175.45,5        7,175.45,1.45,176.9, ,176.9,177,0.1,2,57.0,57.01244040000165,58.46122760000071,59.936596700001246,None,False,None
15,3,1  +  7,45,1.45,7.45,8        6,7.45,1.45,8.9, ,8.9,9,0.1,1,60.0,59.998981299999286,61.448788100002275,62.921434200001386,None,False,None
16,72,3  +  2,48,1.45,259.45,5        7,259.45,1.45,260.9, ,260.9,261,0.1,1,63.0,62.997590999999375,64.45392970000103,65.92254630000025,None,False,None
17,53,2  +  5,51,1.45,187.45,9        7,187.45,1.45,188.9, ,188.9,189,0.1,2,66.0,65.99590739999985,67.45280900000216,68.92296400000123,None,False,None
18,10,1  +  5,54,1.45,28.45,6        8,28.45,1.45,29.9, ,29.9,30,0.1,1,69.0,69.00378569999884,70.45723949999956,71.92047129999992,None,False,None
19,12,7  +  1,57,1.45,34.45,6        8,34.45,1.45,35.9, ,35.9,36,0.1,2,72.0,72.00575740000204,73.45397380000213,74.92150609999953,None,False,None
20,67,5  +  2,60,1.45,244.45,7        9,244.45,1.45,245.9, ,245.9,246,0.1,1,75.0,90.04871840000123,91.50317060000089,92.97020150000026,None,False,None
21,14,9  +  1,63,1.45,40.45,8        10,40.45,1.45,41.9, ,41.9,42,0.1,2,78.0,93.02228520000062,94.47713060000024,95.94743770000059,None,False,None
22,77,5  +  2,66,1.45,274.45,5        7,274.45,1.45,275.9, ,275.9,276,0.1,2,81.0,95.993437000001,97.45315780000237,98.91439630000241,None,False,None
23,55,2  +  8,69,1.45,193.45,10        12,193.45,1.45,194.9, ,194.9,195,0.1,1,84.0,98.96959699999934,100.42155400000047,101.89599050000106,None,False,None
24,7,8  +  1,72,1.45,19.45,9        11,19.45,1.45,20.9, ,20.9,21,0.1,1,87.0,101.94244729999991,103.39680370000133,104.87331489999997,None,False,None
25,48,4  +  3,75,1.45,172.45,9        7,172.45,1.45,173.9, ,173.9,174,0.1,2,90.0,104.9204252999989,106.37826490000225,107.84678510000231,None,False,None
26,30,3  +  6,78,1.45,103.45,9        7,103.45,1.45,104.9, ,104.9,105,0.1,1,93.0,107.89582729999893,109.34863140000016,110.81565150000097,None,False,None
27,19,3  +  7,81,1.45,55.45,10        12,55.45,1.45,56.9, ,56.9,57,0.1,1,96.0,110.86567560000185,112.32255070000247,113.79325909999898,None,False,None
28,27,5  +  4,84,1.45,94.45,7        9,94.45,1.45,95.9, ,95.9,96,0.1,2,99.0,113.84581160000016,115.2975707000005,116.76236889999927,None,False,None
29,35,5  +  3,87,1.45,118.45,8        10,118.45,1.45,119.9, ,119.9,120,0.1,1,102.0,116.82218170000124,118.27243420000013,119.73579600000085,None,False,None
30,51,2  +  8,90,1.45,181.45,10        8,181.45,1.45,182.9, ,182.9,183,0.1,1,105.0,119.77880640000149,121.23322910000206,122.6993364000009,None,False,None
31,78,5  +  1,93,1.45,277.45,8        6,277.45,1.45,278.9, ,278.9,279,0.1,2,108.0,122.75040850000005,124.20721609999964,125.67086710000149,None,False,None
