,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,52,12  +  9,0,1.45,184.45,21        23,184.45,1.45,185.9, ,185.9,186,0.1,1,15.0,15.03263380000135,16.486092699997243,17.953734099995927,None,False,None
1,24,16  +  8,3,1.45,85.45,26        24,85.45,1.45,86.9, ,86.9,87,0.1,2,18.0,18.00665319999098,19.461369199998444,20.927948299999116,None,False,None
2,68,16  +  5,6,1.45,247.45,19        21,247.45,1.45,248.9, ,248.9,249,0.1,2,21.0,20.994424199991045,22.448630699989735,23.915992099995492,None,False,None
3,74,19  +  3,9,1.45,265.45,22        20,265.45,1.45,266.9, ,266.9,267,0.1,1,24.0,23.995481699996162,25.449323099994217,26.919536999994307,None,False,None
4,26,16  +  5,12,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,27.0,27.000122600002214,28.45294920000015,29.919491099994048,None,False,None
5,58,19  +  7,15,1.45,202.45,26        24,202.45,1.45,203.9, ,203.9,204,0.1,1,30.0,29.998952399997506,31.453092099996866,32.920521799998824,None,False,None
6,62,14  +  9,18,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1,33.0,33.000091599998996,34.45415079999657,35.92159709999396,None,False,None
7,49,19  +  2,21,1.45,175.45,21        23,175.45,1.45,176.9, ,176.9,177,0.1,1,36.0,36.00119179999456,37.457697899997584,38.92251769998984,None,False,None
8,35,18  +  5,24,1.45,118.45,25        23,118.45,1.45,119.9, ,119.9,120,0.1,2,39.0,39.00292990000162,40.459442799998214,41.92339549999451,None,False,None
9,78,17  +  7,27,1.45,277.45,22        24,277.45,1.45,278.9, ,278.9,279,0.1,2,42.0,42.00444499999867,43.45797209999,44.92567149999377,None,False,None
10,32,18  +  4,30,1.45,109.45,20        22,109.45,1.45,110.9, ,110.9,111,0.1,2,45.0,45.00592709999182,46.45857389998855,47.925618499997654,None,False,None
11,61,19  +  3,33,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1,48.0,48.00569349998841,49.46147329999076,50.92732719999913,None,False,None
12,2,19  +  9,36,1.45,4.45,28        26,4.45,1.45,5.9, ,5.9,6,0.1,1,51.0,51.007833600000595,52.461298099995474,53.93061650000163,None,False,None
13,65,16  +  6,39,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2,54.0,54.00913409999339,55.46379999999772,56.92898799999966,None,False,None
14,51,18  +  6,42,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1,57.0,56.99685559999489,58.4495004999917,59.91788159999123,None,False,None
15,34,18  +  8,45,1.45,115.45,24        26,115.45,1.45,116.9, ,116.9,117,0.1,2,60.0,59.99764879999566,61.45200589999149,62.91910449998977,None,False,None
16,66,12  +  9,48,1.45,241.45,19        21,241.45,1.45,242.9, ,242.9,243,0.1,2,63.0,62.996544800000265,64.45442670000193,65.91976409999188,None,False,None
17,11,16  +  7,51,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2,66.0,65.99934299998858,67.45300579999457,68.91961689999152,None,False,None
18,79,13  +  9,54,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2,69.0,68.99969389999751,70.45323499999358,71.92245149999508,None,False,None
19,70,15  +  9,57,1.45,253.45,24        26,253.45,1.45,254.9, ,254.9,255,0.1,1,72.0,72.0008233999979,73.45477949999622,74.92166699998779,None,False,None
