,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,77,5  +  2,0,1.45,274.45,5        7,274.45,1.45,275.9, ,275.9,276,0.1,2,15.0,15.04820330000075,16.515622599999915,17.982696000000942,None,False,None
1,42,2  +  1,3,1.45,154.45,5        3,154.45,1.45,155.9, ,155.9,156,0.1,2,18.0,18.05609860000004,19.502364200001466,20.968668700001217,None,False,None
2,28,7  +  3,6,1.45,97.45,10        12,97.45,1.45,98.9, ,98.9,99,0.1,1,21.0,21.067847100001018,22.516093100000944,23.983601900001304,None,False,None
3,8,4  +  6,9,1.45,22.45,12        10,22.45,1.45,23.9, ,23.9,24,0.1,2,24.0,24.080568299999868,25.530241000000387,27.037480300001334,None,False,None
4,76,1  +  6,12,1.45,271.45,9        7,271.45,1.45,272.9, ,272.9,273,0.1,2,27.0,27.07749960000001,28.587999200000922,30.052349000001414,None,False,None
5,37,2  +  1,15,1.45,124.45,3        5,124.45,1.45,125.9, ,125.9,126,0.1,1,30.0,30.125577100001465,31.57267630000024,33.03983220000009,None,False,None
6,16,3  +  1,18,1.45,46.45,4        6,46.45,1.45,47.9, ,47.9,48,0.1,1,33.0,33.14108290000149,34.58755800000108,36.054225300000326,None,False,None
7,32,5  +  4,21,1.45,109.45,7        9,109.45,1.45,110.9, ,110.9,111,0.1,2,36.0,36.15287520000129,37.60276380000141,39.10692519999975,None,False,None
8,60,1  +  3,24,1.45,208.45,2        4,208.45,1.45,209.9, ,209.9,210,0.1,2,39.0,39.147935300001336,40.60276429999976,42.06990709999991,None,False,None
9,3,1  +  7,27,1.45,7.45,8        6,7.45,1.45,8.9, ,8.9,9,0.1,1,42.0,42.10869500000081,43.594964300000356,45.05749050000122,None,False,None
10,48,4  +  3,30,1.45,172.45,9        7,172.45,1.45,173.9, ,173.9,174,0.1,2,45.0,45.135397800000646,46.61997119999978,48.08738070000072,None,False,None
11,21,5  +  3,33,1.45,76.45,6        8,76.45,1.45,77.9, ,77.9,78,0.1,2,48.0,48.125501300000906,49.578881600000386,51.10033410000142,None,False,None
12,52,5  +  4,36,1.45,184.45,9        7,184.45,1.45,185.9, ,185.9,186,0.1,1,51.0,51.140027700001156,52.63648960000137,54.11404930000026,None,False,None
13,66,3  +  6,39,1.45,241.45,11        9,241.45,1.45,242.9, ,242.9,243,0.1,2,54.0,54.153377500000715,55.607901800000036,57.08000490000086,None,False,None
14,79,1  +  4,42,1.45,280.45,3        5,280.45,1.45,281.9, ,281.9,282,0.1,2,57.0,57.11528230000113,58.61984400000074,60.1045223000001,None,False,None
15,55,2  +  8,45,1.45,193.45,10        12,193.45,1.45,194.9, ,194.9,195,0.1,1,60.0,60.14293800000087,61.63486110000122,63.1135589000005,None,False,None
16,20,1  +  8,48,1.45,58.45,11        9,58.45,1.45,59.9, ,59.9,60,0.1,2,63.0,63.15744860000086,64.60962960000143,66.07949800000097,None,False,None
17,49,6  +  1,51,1.45,175.45,5        7,175.45,1.45,176.9, ,176.9,177,0.1,2,66.0,66.12242900000092,67.59962369999994,69.08132910000131,None,False,None
18,18,4  +  2,54,1.45,52.45,6        4,52.45,1.45,53.9, ,53.9,54,0.1,1,69.0,69.11902929999997,70.62955850000071,72.09590209999988,None,False,None
19,61,6  +  3,57,1.45,226.45,9        7,226.45,1.45,227.9, ,227.9,228,0.1,1,72.0,72.16676689999986,73.614246000001,75.1185357000013,None,False,None
