Trial_No,Type,Condition,Stim1,Stim1_F1,Stim2,Stim2_F1,Stim2_F2,Corr_Resp,trialstart_time,keystart_time,resp_key,response,keypress_time,key_RT
1,E,1,Friend,C,excitable,CU,Positive,NIL,3.2060797999147326,6.041081900009885,None,None,nan,nan
2,E,1,Friend,C,cautious,CU,Positive,NIL,7.547615899937227,10.379497300018556,None,None,nan,nan
3,E,3,Upper Case,C,phony,CU,Negative,Yes,11.889509200002067,13.727949099964462,None,None,nan,nan
3,E,3,Upper Case,C,phony,CU,Negative,Yes,11.889509200002067,13.727949099964462,None,None,nan,nan
