Trial_No,Type,Condition,Stim1,Stim1_F1,Stim2,Stim2_F1,Stim2_F2,Corr_Resp,trialstart_time,keystart_time,resp_key,response,keypress_time,key_RT
1,E,1,Friend,C,excitable,CU,Positive,NIL,2.454368800041266,4.299817700055428,None,None,nan,nan
2,E,1,Friend,C,cautious,CU,Positive,NIL,5.807249400066212,7.661381300073117,None,None,nan,nan
