Trial_No,Type,Condition,Stim1,Stim1_F1,Stim2,Stim2_F1,Stim2_F2,Corr_Resp,trialstart_time,keystart_time,resp_key,response,keypress_time,key_RT
1,E,1,Friend,C,excitable,CU,Positive,NIL,2.166434899903834,4.505520200007595,None,None,nan,nan
2,E,1,Friend,C,cautious,CU,Positive,NIL,6.01354309997987,7.852847900008783,None,None,nan,nan
3,E,3,Upper Case,C,phony,CU,Negative,Yes,9.359766599955037,12.199687599902973,None,None,nan,nan
3,E,3,Upper Case,C,phony,CU,Negative,Yes,9.359766599955037,12.199687599902973,None,None,nan,nan
