trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,memoryPrompt.started,memoryPrompt.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,63.446812200010754,None,68.41241549997358,None,,001,2021_Oct_19_0229,exp,2021.2.3,148.63412679448567,
1,0,1,0,73.41904109995812,None,78.41229919996113,None,,001,2021_Oct_19_0229,exp,2021.2.3,148.63412679448567,
2,0,2,0,83.42049920000136,None,88.41254930000287,None,,001,2021_Oct_19_0229,exp,2021.2.3,148.63412679448567,
3,0,3,0,93.42796870000893,None,97.42103520000819,None,,001,2021_Oct_19_0229,exp,2021.2.3,148.63412679448567,
4,0,4,0,101.42706779995933,None,106.4281159999664,None,,001,2021_Oct_19_0229,exp,2021.2.3,148.63412679448567,
