Trial_No,Type,Condition,Stim1,Stim1_F1,Stim2,Stim2_F1,Stim2_F2,Corr_Resp,trialstart_time,keystart_time,resp_key,response,keypress_time,key_RT
1,E,1,Friend,C,excitable,CU,Positive,NIL,6.730607200006489,8.573937100009061,None,None,nan,nan
2,E,1,Friend,C,cautious,CU,Positive,NIL,10.083864000043832,12.922032200032845,None,None,nan,nan
3,E,3,Upper Case,C,phony,CU,Negative,Yes,14.428970900014974,16.275698400044348,None,None,nan,nan
3,E,3,Upper Case,C,phony,CU,Negative,Yes,14.428970900014974,16.275698400044348,None,None,nan,nan
