Block,Number,reading subset,recall subset,condition,trial type,task,fixa,clue,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,Question1,Question2,Question3,trial_pres_num,fixa1_onset,fixa1_durat,clue_onset,clue_durat,task_onset,task_durat,word1_onset,word2_onset,word3_onset,word4_onset,word5_onset,word6_onset,word7_onset,word8_onset,word9_onset,word10_onset,word11_onset,word12_onset,word13_onset,word14_onset,word15_onset,word_time,fixa2_onset,fixa2_durat,question1_onset,question1_offset,rating1,rating1_RT,question2_onset,question2_offset,rating2,rating2_RT,question3_onset,question3_offset,rating3,rating3_RT,ori_press_word,press_word,press_word_offset,RT,correct,KeyPress
1,2,2,,pure reading ,formal trial,reading,+,xxxxx,Emotions,are,thought,to result,from,evolution,because,they,provided,good,solutions to,the problems,that our,ancestors,faced.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,1,0.047995999979320914,2.15,2.1943148000282235,2,4.195413500012364,1,5.193972399982158,5.798232500033919,6.397038700000849,6.992989799997304,7.598214600002393,8.202339800016489,8.798244600009639,9.396812100021634,9.992716300010215,10.597262600029353,11.194304500008002,11.80125489999773,12.396216600027401,12.993208500032779,13.59698929998558,0.6,14.194232999987435,2.93,17.119667600025423,21.145728799980134,4,4.025,21.14635440002894,25.18747230002191,4,4.04,25.188061100023333,29.22383810003521,4,4.035,,,,,,
1,49,49,25,conflict recall,formal trial,memory recall,+,hug,For,home,"storage,",apples,can be,held for,approximately,two,weeks,when,kept in,the coolest,part of,the,refrigerator.,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,2,29.270879000017885,3.0,32.27156239998294,2,34.27140720002353,1,35.27140020002844,35.86829519999446,36.46558590000495,37.06970100000035,37.66730370000005,38.27154689998133,38.870390600000974,39.46554870001273,40.07034839998232,40.66732760000741,41.27301509998506,41.868493899994064,42.46568640001351,43.07011540001258,43.669515800022054,0.6,44.271764900011476,1.58,45.8425508000073,49.86868740001228,4,4.023,49.869307500019204,53.89651450002566,4,4.026,53.897159299987834,57.93817079998553,4,4.04,,,,,,
1,74,,50,pure recall,formal trial,memory recall,+,street,xxxxxxxx,xxx,xxxxxxx,xx xxxxxx,xxxx,xxxxxxxxx,xxxxxxx,xxxx,xxxxxxxx,xxxx,xxxxxxxxx xx,xxx xxxxxxxx,xxxx xxx,xxxxxxxxx,xxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,3,57.97284689999651,1.95,59.918798200029414,2,61.91833990003215,1,62.917476500035264,63.524778600025456,64.12262610002654,64.72366900002817,65.3238488000352,65.92051989998436,66.52243280003313,67.12021550000645,67.72322430001805,68.32077849999769,68.91770250000991,69.52222290000645,70.1190237000119,70.7233428999898,71.32077709998703,0.6,71.91958119999617,1.77,73.6845192000037,77.7165096999961,4,4.03,77.71711870003492,81.73731529997895,4,4.02,81.74222870002268,85.76599849999184,2,4.023,,,,,,
