Go, Nogo, Block, Condition,Box,GoImg,NoGoImg,Scrambled_Words,Scrambled_Pictures
chimney,zebra,,,,/Stimuli/ManMade/dresser02.jpg,/Stimuli/Animals/zebra.jpg,/Stimuli/Scrambled/Slide146S0.JPG,/Stimuli/Scrambled/cork02S0.jpg
clock,,,,,/Stimuli/ManMade/entrancegate.jpg,,/Stimuli/Scrambled/Slide147S0.JPG,/Stimuli/Scrambled/couch02S0.jpg
compass,,,,,/Stimuli/ManMade/escalator.jpg,,/Stimuli/Scrambled/Slide148S0.JPG,/Stimuli/Scrambled/cowbellS0.jpg
computer,,,,,/Stimuli/ManMade/fanheater.jpg,,/Stimuli/Scrambled/Slide149S0.JPG,/Stimuli/Scrambled/cowS0.jpg
cork,,,,,/Stimuli/ManMade/faucet.jpg,,/Stimuli/Scrambled/Slide14S0.JPG,/Stimuli/Scrambled/crab01S0.jpg
couch,,,,,/Stimuli/ManMade/ferry.jpg,,/Stimuli/Scrambled/Slide150S0.JPG,/Stimuli/Scrambled/crosscountrybootS0.jpg
doors,,,,,/Stimuli/ManMade/file.jpg,,/Stimuli/Scrambled/Slide151S0.JPG,/Stimuli/Scrambled/crosscountryskiS0.jpg
dresser,,,,,/Stimuli/ManMade/fireplace.jpg,,/Stimuli/Scrambled/Slide152S0.JPG,/Stimuli/Scrambled/crownS0.jpg
drum,,,,,/Stimuli/ManMade/floorlamp.jpg,,/Stimuli/Scrambled/Slide153S0.JPG,/Stimuli/Scrambled/dalmatianS0.jpg
escalator,,,,,/Stimuli/ManMade/floortile02.jpg,,/Stimuli/Scrambled/Slide154S0.JPG,/Stimuli/Scrambled/desktopcomputerS0.jpg
fan,,,,,/Stimuli/ManMade/fridge.jpg,,/Stimuli/Scrambled/Slide155S0.JPG,/Stimuli/Scrambled/dolphin01S0.jpg
fence,,,,,/Stimuli/ManMade/frisbee.jpg,,/Stimuli/Scrambled/Slide156S0.JPG,/Stimuli/Scrambled/doormatS0.jpg
ferry,,,,,/Stimuli/ManMade/funnel.jpg,,/Stimuli/Scrambled/Slide157S0.JPG,/Stimuli/Scrambled/doubledoorsS0.jpg
file,,,,,/Stimuli/ManMade/gardenutilityvehicle.jpg,,/Stimuli/Scrambled/Slide158S0.JPG,/Stimuli/Scrambled/dresser02S0.jpg
fireplace,,,,,/Stimuli/ManMade/gazebo.jpg,,/Stimuli/Scrambled/Slide159S0.JPG,/Stimuli/Scrambled/dromedaryS0.jpg
flask,,,,,/Stimuli/ManMade/gong.jpg,,/Stimuli/Scrambled/Slide15S0.JPG,/Stimuli/Scrambled/entrancegateS0.jpg
football,,,,,/Stimuli/ManMade/grandpiano.jpg,,/Stimuli/Scrambled/Slide160S0.JPG,/Stimuli/Scrambled/escalatorS0.jpg
